gsl_word,gsl_head
been,be
is,be
are,be
was,be
were,be
am,be
an,a
him,he
his,he
has,have
had,have
me,I
my,I
her,she
hers,she
us,we
our,we
ours,we
your,you
yours,you
yourself,you
does,do
did,do
done,do
willing,will
willingly,will
unwilling,will
says,say
said,say
saying,say
makes,make
made,make
making,make
maker,make
men,man
manhood,man
others,other
times,time
timely,time
goes,go
gone,go
states,state
stated,state
stating,state
statement,state
newly,new
years,year
yearly,year
takes,take
took,take
taken,take
taking,take
comes,come
came,come
coming,come
knows,know
knew,know
knowing,know
sees,see
seen,see
seeing,see
uses,use
used,use
using,use
useful,use
usefulness,use
useless,use
user,use
gets,get
got,get
likes,like
liked,like
liking,like
unlike,like
works,work
worked,work
working,work
workings,work
worker,work
workman,work
workshop,work
workmanship,work
gives,give
given,give
gave,give
giving,give
thinks,think
thought,think
thinking,think
thinker,think
mostly,most
finds,find
found,find
finding,find
days,day
ways,way
wayside,way
looks,look
looked,look
looking,look
greatcoat,great
greatly,great
greatness,great
backbone,back
background,back
throughout,through
owns,own
owned,own
owning,own
owner,own
justly,just
unjust,just
unjustly,just
feels,feel
felt,feel
feeling,feel
seems,seem
seemed,seem
seeming,seem
places,place
placed,place
placing,place
worldwide,world
worldly,world
worldliness,world
stillness,still
nations,nation
national,nation
hands,hand
handy,hand
older,old
oldest,old
lives,life
tells,tell
told,tell
telling,tell
writes,write
wrote,write
writing,write
becomes,become
became,become
becoming,become
shows,show
shown,show
showing,show
showy,show
houses,house
household,house
householder,house
housewife,house
needs,need
needed,need
needing,need
needless,need
needy,need
meant,mean
meaning,mean
means,mean
calls,call
called,call
calling,call
develops,develop
developed,develop
developing,develop
development,develop
rightly,right
moves,move
movement,move
things,thing
generally,general
schools,school
begins,begin
began,begin
begun,begin
beginning,begin
beginnings,begin
whilst,while
numbers,number
parts,part
partly,part
partial,part
partially,part
turns,turn
turning,turn
really,real
reality,real
leaves,leave
leaving,leave
wants,want
wanted,want
wanting,want
points,point
pointed,point
pointer,point
forms,form
formed,form
forming,form
children,child
childish,child
childlike,child
smallness,small
asks,ask
asked,ask
asking,ask
later,late
homes,home
homely,home
interesting,interest
largely,large
personal,person
personally,person
ending,end
endless,end
opens,open
opened,open
opening,open
openly,open
publicly,public
follows,follow
followed,follow
following,follow
presents,present
presented,present
presenting,present
holds,hold
held,hold
holding,hold
holder,hold
governs,govern
governed,govern
governing,govern
government,govern
governments,govern
possibly,possible
possibility,possible
heads,head
headed,head
heading,head
considers,consider
considered,consider
considering,consider
words,word
programmes,programme
problems,problem
leads,lead
led,lead
leading,lead
leader,lead
leaders,lead
systems,system
systematic,system
systematically,system
sets,set
setting,set
orders,order
orderly,order
eyes,eye
eyeing,eye
eyed,eye
plans,plan
planned,plan
planning,plan
runs,run
ran,run
running,run
runner,run
keeps,keep
kept,keep
keeping,keep
keeper,keep
faces,face
facts,fact
groups,group
plays,play
played,play
playing,play
player,play
playground,play
plaything,play
stands,stand
standing,stand
stood,stand
increases,increase
increased,increase
increasing,increase
earliness,early
changes,change
changed,change
changing,change
helps,help
helped,help
helper,help
helpful,help
helpless,help
lines,line
cities,city
puts,put
putting,put
closes,close
closing,close
closed,close
cases,case
forces,force
forcing,force
forced,force
meets,meet
met,meet
meeting,meet
watercourse,water
waterfall,water
waterpipe,water
waterproof,water
waterway,water
waterworks,water
watery,water
wars,war
builds,build
built,build
building,build
hears,hear
hearing,hear
heard,hear
hearer,hear
lights,light
lighter,light
lightly,light
lightness,light
unites,unite
united,unite
uniting,unite
lived,live
living,live
countries,country
brings,bring
bringing,bring
brought,bring
centres,centre
center,centre
sides,side
sideways,side
tries,try
tried,try
trying,try
provides,provide
provided,provide
providing,provide
continues,continue
continued,continue
continuing,continue
continuous,continue
continuously,continue
names,name
nameless,name
namely,name
certainly,certain
powerful,power
pays,pay
paying,pay
paid,pay
unpaid,pay
payment,pay
results,result
questions,question
studies,study
studying,study
studied,study
women,woman
members,member
faraway,far
farther,far
farthest,far
nights,night
goodnight,night
services,service
servicing,service
serviced,service
reports,report
reported,report
reporting,report
reporter,report
companies,company
weeks,week
weekly,week
towards,toward
starts,start
started,start
starting,start
socially,social
rooms,room
figures,figure
natural,nature
naturally,nature
youngster,young
reads,read
reading,read
reader,read
includes,include
included,include
including,include
presidents,president
boys,boy
costs,cost
businesses,business
values,value
valueless,value
seconds,second
secondhand,second
secondly,second
clears,clear
cleared,clear
clearing,clear
clearly,clear
clearness,clear
expects,expect
expected,expect
expecting,expect
expectation,expect
families,family
completes,complete
completed,complete
completing,complete
acts,act
acted,act
acting,act
activity,act
activities,act
senses,sense
senseless,sense
insensible,sense
sensation,sense
sensible,sense
sensibly,sense
minds,mind
minded,mind
minding,mind
experiences,experience
experienced,experience
artist,art
artists,art
artistic,art
nearly,near
directs,direct
directed,direct
directing,direct
directly,direct
cars,car
laws,law
lawful,law
unlawful,law
lawfully,law
unlawfully,law
lawless,law
industries,industry
industrial,industry
girls,girl
gods,god
goddess,god
godfather,god
godmother,god
matters,matter
usually,usual
unkind,kind
kindly,kind
kindness,kind
reasons,reason
actions,action
returns,return
returned,return
returning,return
feet,foot
football,foot
foothold,foot
footpath,foot
footprint,foot
footstep,foot
footnote,foot
cares,care
cared,care
caring,care
careful,care
careless,care
