English,Spanish,French,Haitian Creole,Portuguese
African,africano,africain,Afriken,africano
Greek,Griego,grec,grèk,grego
Jupiter,Júpiter,Jupiter,Jipitè,Júpiter
Latin,latín,latin,Latin,Latim
abandon,abandonar,abandonner,abandone,abandonar
abbreviation,abreviatura,abréviation,abreviyasyon,abreviação
ability,habilidad,xxx,abreviyasyon,habilidade
absence,ausencia,absence,absans,ausência
absent,ausente,absent,absan,ausente
absolute,absoluto,absolu,absoli,absoluto
absolutely,absolutamente,absolument,absoliman,absolutamente
abstract,abstracto,abstrait,abstrè,xxx
abundance,abundancia,abondance,abondans,abundância
abuse,abuso,abus,abi,abuso
academy,academia,académie,akademi,academia
accelerate,acelerar,accélérer,akselere,acelerar
accent,acento,accent,aksan,xxx
accentuate,acentuar,accentuer,aksantye,acentuar
accentuation,acentuación,accentuation,aksantuasyon,acentuação
accept,aceptar,accepter,aksepte,aceitar
acceptability,aceptabilidad,acceptabilité,akseptabilite,aceitabilidade
access,acceso,accéder,aksè,acesso
accident,accidente,accident,aksidan,acidente
accommodate,acomodar,accommoder,akomode,acomodar
accompany,acompañar,accompagner,akonpaye,acompanhar
accord,acuerdo,accord,akonpaye,acordo
account,xxx,xxx,akonpaye,conta
accumulate,acumular,accumuler,akimile,acumular
accuse,acusar,accuser,akize,acusar
accustom,acostumbrar,xxx,akize,acostumar
acquire,adquirir,acquérir,akize,adquirir
acquisition,adquisición,acquisition,akizisyon,aquisição
acrobat,acróbata,acrobate,akrobat,acrobata
acrobatic,acrobático,acrobatique,akrobatik,acrobático
act,acto,acte,akrobatik,xxx
action,acción,action,aksyon,xxx
active,activo,actif,aktif,ativo
activities,actividades,activités,aktivite yo,atividades
activity,actividad,activité,aktivite,atividade
actor,actor,acteur,aktè,ator
actress,actriz,actrice,aktris,atriz
actual,actual,xxx,aktyèl,xxx
actuary,actuario,actuaire,aktuarya,atuário
adapt,adaptar,adapter,adapte,adaptar
addition,xxx,ajout,adisyon,adição
address,xxx,adresse,adrès,xxx
adequate,adecuado,adéquat,adekwat,adequado
adjacent,adyacente,adjacent,adjasan,adjacente
adjective,adjetivo,adjectif,adjektif,adjetivo
adjust,ajustar,ajuster,ajiste,ajustar
administrate,administrado,xxx,ajiste,xxx
admirable,admirable,admirable,admirab,admirável
admiration,admiración,admiration,admirasyon,admiração
admire,admirar,admirer,admire,admirar
admission,admisión,admission,admisyon,admissão
admit,admitir,admettre,admèt,admitir
adopt,adoptar,adopter,adopte,adotar
adoption,adopción,adoption,adopsyon,adoção
adore,adorar,adorer,adore,adoro
adult,adulto,adulte,adore,adulto
advance,avance,avance,avanse,avançar
advantage,ventaja,avantage,avantaj,vantagem
adventure,aventura,aventure,avanti,aventura
adverb,adverbio,adverbe,advèb,advérbio
advise,aconsejar,xxx,advèb,xxx
advocate,xxx,avocat,avoka,advogado
affair,xxx,affaire,avoka,xxx
affect,afectar,affecter,afekte,afetar
afraid,xxx,effrayé,afekte,xxx
agency,agencia,agence,ajans,agência
agent,agente,agent,ajan,agente
aggregate,agregar,agrégat,agregate,agregar
agile,ágil,agile,ajil,ágil
agony,agonía,agonie,agoni,agonia
agree,xxx,accepter,agoni,xxx
agriculture,agricultura,agriculture,agrikilti,agricultura
ahead,adelante,xxx,agrikilti,xxx
aid,ayuda,aide,agrikilti,ajuda
air,aire,air,agrikilti,xxx
alarm,alarma,alarme,alam,alarme
algorithm,algoritmo,algorithme,algorithm,algoritmo
allergic,alérgico,allergique,fè alèji,alérgico
allocate,xxx,allouer,atloze,alocar
allowance,xxx,allocation,atloze,xxx
alphabet,alfabeto,alphabet,alfabè,alfabeto
alter,alterar,xxx,alfabè,alterar
